[2026-06-17 13:32:47,772 ] 24 root - INFO - Initiate the data ingestion
[2026-06-17 13:32:51,628 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-17 13:32:51,628 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-17 13:32:51,629 ] 89 root - INFO - Exporting train and test file path.
[2026-06-17 13:32:51,682 ] 98 root - INFO - Exported train and test file path
[2026-06-17 13:32:51,683 ] 29 root - INFO - Data Initiation completed
[2026-06-17 13:32:51,691 ] 33 root - INFO - Initiate the data validation
[2026-06-17 13:32:51,753 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:32:51,753 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:32:51,753 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:32:51,754 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:32:51,892 ] 35 root - INFO - data validation completed
[2026-06-17 13:32:51,893 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-17 13:32:51,893 ] 65 root - INFO - starting data transformation
