[2026-06-17 13:40:05,582 ] 24 root - INFO - Initiate the data ingestion
[2026-06-17 13:40:09,547 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-17 13:40:09,547 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-17 13:40:09,550 ] 89 root - INFO - Exporting train and test file path.
[2026-06-17 13:40:09,682 ] 98 root - INFO - Exported train and test file path
[2026-06-17 13:40:09,683 ] 29 root - INFO - Data Initiation completed
[2026-06-17 13:40:09,734 ] 33 root - INFO - Initiate the data validation
[2026-06-17 13:40:09,820 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:40:09,820 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:40:09,822 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:40:09,822 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:40:09,987 ] 35 root - INFO - data validation completed
[2026-06-17 13:40:09,988 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-17 13:40:09,988 ] 65 root - INFO - starting data transformation
[2026-06-17 13:40:10,022 ] 48 root - INFO - Entered get_data_tranformer_object method of transformation class
[2026-06-17 13:40:10,022 ] 53 root - INFO - Initialise KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-17 13:40:10,036 ] 43 root - INFO - Entered the save_object method of MainUtils class
[2026-06-17 13:40:10,039 ] 47 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-17 13:40:10,040 ] 41 root - INFO - Data Transformtion Completed
