[2026-06-18 19:04:51,774 ] 26 root - INFO - Initiate the data ingestion
[2026-06-18 19:04:58,585 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-18 19:04:58,585 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-18 19:04:58,586 ] 89 root - INFO - Exporting train and test file path.
[2026-06-18 19:04:58,653 ] 98 root - INFO - Exported train and test file path
[2026-06-18 19:04:58,654 ] 31 root - INFO - Data Initiation completed
[2026-06-18 19:04:58,684 ] 35 root - INFO - Initiate the data validation
[2026-06-18 19:04:58,756 ] 32 root - INFO - Required number of columns:2
[2026-06-18 19:04:58,756 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 19:04:58,757 ] 32 root - INFO - Required number of columns:2
[2026-06-18 19:04:58,757 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 19:04:58,955 ] 37 root - INFO - data validation completed
[2026-06-18 19:04:58,956 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-18 19:04:58,956 ] 65 root - INFO - starting data transformation
[2026-06-18 19:04:58,995 ] 48 root - INFO - Entered get_data_tranformer_object method of transformation class
[2026-06-18 19:04:58,995 ] 53 root - INFO - Initialise KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-18 19:04:59,009 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-18 19:04:59,014 ] 50 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-18 19:04:59,016 ] 43 root - INFO - Data Transformtion Completed
[2026-06-18 19:04:59,016 ] 46 root - INFO - Model Training Started
