[2026-06-17 13:20:52,702 ] 23 root - INFO - Initiate the data ingestion
[2026-06-17 13:20:58,163 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-17 13:20:58,163 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-17 13:20:58,163 ] 89 root - INFO - Exporting train and test file path.
[2026-06-17 13:20:58,218 ] 98 root - INFO - Exported train and test file path
[2026-06-17 13:20:58,218 ] 28 root - INFO - Data Initiation completed
[2026-06-17 13:20:58,242 ] 32 root - INFO - Initiate the data validation
[2026-06-17 13:20:58,295 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:20:58,295 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:20:58,296 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:20:58,296 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:20:58,493 ] 34 root - INFO - data validation completed
