[2026-06-18 13:43:18,912 ] 26 root - INFO - Initiate the data ingestion
[2026-06-18 13:43:21,997 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-18 13:43:21,997 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-18 13:43:21,998 ] 89 root - INFO - Exporting train and test file path.
[2026-06-18 13:43:22,053 ] 98 root - INFO - Exported train and test file path
[2026-06-18 13:43:22,054 ] 31 root - INFO - Data Initiation completed
[2026-06-18 13:43:22,061 ] 35 root - INFO - Initiate the data validation
[2026-06-18 13:43:22,123 ] 32 root - INFO - Required number of columns:2
[2026-06-18 13:43:22,124 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 13:43:22,125 ] 32 root - INFO - Required number of columns:2
[2026-06-18 13:43:22,125 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 13:43:22,285 ] 37 root - INFO - data validation completed
[2026-06-18 13:43:22,285 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-18 13:43:22,286 ] 65 root - INFO - starting data transformation
[2026-06-18 13:43:22,315 ] 48 root - INFO - Entered get_data_tranformer_object method of transformation class
[2026-06-18 13:43:22,315 ] 53 root - INFO - Initialise KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-18 13:43:22,328 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-18 13:43:22,331 ] 50 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-18 13:43:22,333 ] 43 root - INFO - Data Transformtion Completed
[2026-06-18 13:43:22,333 ] 46 root - INFO - Model Training Started
[2026-06-18 13:47:35,249 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-18 13:47:35,252 ] 50 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-18 13:47:35,253 ] 111 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_18_2026_13_43_17\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914599430662872, precision_score=0.9898497766950873, recall_score=0.9930753564154786), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9756875249103228, precision_score=0.9698890649762282, recall_score=0.9815557337610264))
[2026-06-18 13:47:35,262 ] 50 root - INFO - Model Training artifact created
