[2026-06-18 19:27:11,914 ] 26 root - INFO - Initiate the data ingestion
[2026-06-18 19:27:15,965 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-18 19:27:15,965 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-18 19:27:15,965 ] 89 root - INFO - Exporting train and test file path.
[2026-06-18 19:27:16,076 ] 98 root - INFO - Exported train and test file path
[2026-06-18 19:27:16,077 ] 31 root - INFO - Data Initiation completed
[2026-06-18 19:27:16,091 ] 35 root - INFO - Initiate the data validation
[2026-06-18 19:27:16,176 ] 32 root - INFO - Required number of columns:2
[2026-06-18 19:27:16,176 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 19:27:16,177 ] 32 root - INFO - Required number of columns:2
[2026-06-18 19:27:16,177 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 19:27:16,388 ] 37 root - INFO - data validation completed
[2026-06-18 19:27:16,389 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-18 19:27:16,389 ] 65 root - INFO - starting data transformation
[2026-06-18 19:27:16,441 ] 48 root - INFO - Entered get_data_tranformer_object method of transformation class
[2026-06-18 19:27:16,441 ] 53 root - INFO - Initialise KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-18 19:27:16,463 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-18 19:27:16,466 ] 50 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-18 19:27:16,471 ] 43 root - INFO - Data Transformtion Completed
[2026-06-18 19:27:16,472 ] 46 root - INFO - Model Training Started
[2026-06-18 19:32:10,574 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-18 19:32:10,577 ] 50 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-18 19:32:10,577 ] 126 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_18_2026_19_27_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910259025086682, precision_score=0.9906218144750255, recall_score=0.9914303203427872), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9749502982107355, precision_score=0.9737887212073074, recall_score=0.9761146496815286))
[2026-06-18 19:32:10,583 ] 50 root - INFO - Model Training artifact created
