[2026-06-18 13:34:46,649 ] 26 root - INFO - Initiate the data ingestion
[2026-06-18 13:34:50,919 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-18 13:34:50,919 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-18 13:34:50,919 ] 89 root - INFO - Exporting train and test file path.
[2026-06-18 13:34:50,980 ] 98 root - INFO - Exported train and test file path
[2026-06-18 13:34:50,981 ] 31 root - INFO - Data Initiation completed
[2026-06-18 13:34:51,026 ] 35 root - INFO - Initiate the data validation
[2026-06-18 13:34:51,075 ] 32 root - INFO - Required number of columns:2
[2026-06-18 13:34:51,075 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 13:34:51,076 ] 32 root - INFO - Required number of columns:2
[2026-06-18 13:34:51,076 ] 33 root - INFO - Data frame has columns:31
[2026-06-18 13:34:51,271 ] 37 root - INFO - data validation completed
[2026-06-18 13:34:51,272 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-18 13:34:51,272 ] 65 root - INFO - starting data transformation
[2026-06-18 13:34:51,305 ] 48 root - INFO - Entered get_data_tranformer_object method of transformation class
[2026-06-18 13:34:51,305 ] 53 root - INFO - Initialise KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-18 13:34:51,319 ] 46 root - INFO - Entered the save_object method of MainUtils class
[2026-06-18 13:34:51,322 ] 50 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-18 13:34:51,323 ] 43 root - INFO - Data Transformtion Completed
[2026-06-18 13:34:51,324 ] 46 root - INFO - Model Training Started
