[2026-06-17 13:38:40,829 ] 24 root - INFO - Initiate the data ingestion
[2026-06-17 13:38:43,911 ] 81 root - INFO - Performed train test split on the dataframe
[2026-06-17 13:38:43,911 ] 83 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-06-17 13:38:43,911 ] 89 root - INFO - Exporting train and test file path.
[2026-06-17 13:38:43,966 ] 98 root - INFO - Exported train and test file path
[2026-06-17 13:38:43,966 ] 29 root - INFO - Data Initiation completed
[2026-06-17 13:38:43,974 ] 33 root - INFO - Initiate the data validation
[2026-06-17 13:38:44,037 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:38:44,037 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:38:44,038 ] 32 root - INFO - Required number of columns:2
[2026-06-17 13:38:44,038 ] 33 root - INFO - Data frame has columns:31
[2026-06-17 13:38:44,221 ] 35 root - INFO - data validation completed
[2026-06-17 13:38:44,222 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2026-06-17 13:38:44,222 ] 65 root - INFO - starting data transformation
[2026-06-17 13:38:44,249 ] 48 root - INFO - Entered get_data_tranformer_object method of transformation class
[2026-06-17 13:38:44,250 ] 53 root - INFO - Initialise KNNImputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-06-17 13:38:44,263 ] 43 root - INFO - Entered the save_object method of MainUtils class
[2026-06-17 13:38:44,266 ] 47 root - INFO - Exited the save_object meyhod of mainUtils class
[2026-06-17 13:38:44,268 ] 41 root - INFO - Data Transformtion Completed
